"person_id","screening_date","arnold_fta_raw","arnold_fta","arnold_nca_raw","arnold_nca","arnold_nvca_raw","arnold_nvca","Risk of Failure to Appear_decile_score","Risk of Failure to Appear_raw_score","Risk of Recidivism_decile_score","Risk of Recidivism_raw_score","Risk of Violence_decile_score","Risk of Violence_raw_score","general_two_year","general_six_month","years","recidnot","drug_two_year","property_two_year","misdemeanor_two_year","felony_two_year","drug_six_month","property_six_month","misdemeanor_six_month","felony_six_month","violent_two_year","violent_six_month","nullcharge","sex","race","age_at_current_charge","p_charges"
1001,2014-02-03,2,3,9,6,6,"Yes",5,22,9,0.42,5,-1.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,"African-American",45,39
101,2013-01-13,2,3,7,5,2,"No",1,13,1,-2.08,1,-3.55,1,0,0.885352498288843,0,0,0,1,0,0,0,0,0,1,0,0,1,"Hispanic",42,9
101,2014-02-02,4,4,9,6,5,"Yes",3,18,1,-1.97,1,-3.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,"Hispanic",43,15
1015,2014-01-22,2,3,9,6,6,"Yes",5,22,4,-0.72,2,-2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,"African-American",35,47
1016,2013-04-15,2,3,8,5,4,"Yes",6,24,9,0.46,8,-1.19,1,1,0.0684462696783025,0,0,0,0,1,0,0,0,1,1,1,0,1,"Other",27,11
1016,2013-05-11,2,3,9,6,6,"Yes",8,28,9,0.59,8,-1.04,1,0,0.987850787132101,0,0,0,0,1,0,0,0,0,0,0,0,1,"Other",27,12
102,2013-05-25,1,2,3,3,4,"Yes",1,14,4,-0.52,6,-1.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,"Hispanic",19,4
1027,2013-04-04,4,4,7,5,5,"Yes",1,15,9,0.59,8,-1.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,"African-American",19,5
1032,2013-09-23,2,3,7,5,2,"No",4,21,9,0.38,4,-2.13,1,1,0.46047227926078,0,0,0,1,0,0,0,1,0,0,0,0,1,"Hispanic",26,15
1034,2013-01-14,2,3,7,5,6,"Yes",3,18,10,0.66,9,-0.74,1,1,0.368925393566051,0,0,1,1,0,0,1,1,0,1,1,0,1,"African-American",19,7
1036,2013-04-27,1,2,1,2,3,"No",2,16,4,-0.63,3,-2.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,"African-American",24,4
1044,2013-09-25,2,3,5,4,5,"Yes",2,16,5,-0.36,2,-2.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,"African-American",34,6
1048,2013-10-09,6,5,8,5,3,"No",4,21,8,0.1,5,-1.81,1,0,1.00273785078713,0,0,0,1,0,0,0,0,0,0,0,0,1,"African-American",42,34
1049,2013-05-03,1,2,2,2,2,"No",7,27,1,-1.6,1,-3.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,"Caucasian",50,5
1051,2013-03-18,3,4,2,2,1,"No",1,13,2,-1.3,1,-2.96,1,1,0.183093771389459,0,0,0,1,0,0,0,1,0,0,0,0,1,"African-American",30,6
1059,2013-09-21,1,2,4,3,4,"Yes",2,16,6,-0.13,4,-1.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,"African-American",21,2
1060,2013-12-19,1,2,1,2,1,"No",3,18,1,-1.56,1,-3.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,"African-American",42,4
1062,2013-03-24,2,3,6,4,5,"Yes",6,24,3,-0.8,5,-1.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,"African-American",34,15
1065,2013-08-22,2,3,5,4,2,"No",5,22,8,0.1,7,-1.32,1,1,0.0191649555099247,0,1,0,0,1,1,0,0,1,1,0,0,1,"African-American",25,14
1066,2013-02-12,1,2,1,2,1,"No",1,14,2,-1.08,1,-3.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,"Caucasian",37,3
107,2013-01-07,2,3,4,3,2,"No",2,16,6,-0.24,3,-2.36,1,0,0.694045174537988,0,0,0,1,0,0,0,0,0,1,0,0,1,"African-American",26,10
107,2013-09-18,4,4,5,4,2,"No",2,17,6,-0.26,3,-2.48,1,0,0.957734428473648,0,0,0,0,1,0,0,0,0,1,0,0,1,"African-American",26,12
1074,2014-03-15,0,1,2,2,3,"No",2,16,8,0.18,8,-1.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,"African-American",19,2
1075,2013-12-29,2,3,5,4,5,"Yes",7,27,6,-0.19,2,-2.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,"African-American",39,5
1076,2013-02-12,2,3,7,5,5,"Yes",9,30,8,-0.09,1,-3.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,"Caucasian",43,7
1079,2013-07-09,2,3,5,4,5,"Yes",5,23,1,-1.48,2,-2.85,1,1,0.347022587268994,0,0,0,1,0,0,0,1,0,1,1,0,1,"African-American",34,5
1082,2013-09-29,2,3,9,6,4,"Yes",8,29,8,0.17,6,-1.59,1,0,0.702258726899384,0,0,0,0,1,0,0,0,0,0,0,0,1,"African-American",47,39
1086,2014-02-28,2,3,6,4,2,"No",1,14,5,-0.45,7,-1.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,"African-American",20,4
1091,2013-02-12,2,3,7,5,2,"No",3,19,8,0.28,8,-1.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,"Other",20,8
1092,2013-08-08,1,2,4,3,2,"No",9,31,10,0.76,5,-1.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,"Hispanic",21,2
1101,2014-02-03,1,2,1,2,3,"No",4,21,3,-1.28,1,-3.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,"Hispanic",35,2
1102,2013-03-27,2,3,7,5,4,"Yes",3,20,7,-0.12,4,-2.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,"African-American",26,20
1107,2013-04-26,2,3,8,5,7,"Yes",2,16,4,-0.71,6,-1.58,1,0,0.944045174537988,0,0,1,1,0,0,0,0,0,0,0,0,1,"Caucasian",19,11
1110,2013-01-05,1,2,4,3,3,"No",5,22,10,0.6,6,-1.69,1,0,1.74332648870637,0,1,0,0,1,0,0,0,0,0,0,0,0,"African-American",32,6
1111,2013-04-01,2,3,5,4,3,"No",3,18,6,-0.28,1,-3.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,"African-American",45,7
1119,2014-03-13,2,3,9,6,6,"Yes",3,20,9,0.58,8,-1.03,1,1,0.0574948665297741,0,0,0,1,0,0,0,1,0,0,0,0,1,"African-American",21,13
1123,2013-09-09,2,3,7,5,4,"Yes",8,29,9,0.38,6,-1.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,"African-American",47,30
1129,2013-11-13,0,1,1,2,3,"No",1,14,1,-1.78,1,-3.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,"Other",33,3
113,2013-08-25,1,2,5,4,4,"Yes",1,11,3,-0.91,3,-2.38,1,0,1.11344969199179,0,0,0,1,0,0,0,0,0,0,0,0,1,"African-American",19,4
